transaction_id,transaction_date,transaction_hour,day_of_week,is_weekend,transaction_month,amount,use_chip,merchant_state,mcc,age_at_transaction,retirement_age,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,has_chip,num_cards_issued,credit_limit,account_open_month,account_open_year,years_since_pin_change,card_on_dark_web,mcc_description,amount_to_credit_limit,amount_to_yearly_income,card_account_age_years,months_to_card_expiration,is_fraud,split
20774964,2018-02-06 05:54:00,5,2,False,2,162.17,Online Transaction,,4900,49,72,16928.00,34517.00,74143.00,645,2,Mastercard,Debit,YES,2,5066.00,10,2008,2,No,"Utilities - Electric, Gas, Water, Sanitary",0.032011,0.004698,9.333333,33,False,train
20774965,2018-02-06 05:54:00,5,2,False,2,27.18,Chip Transaction,FL,5300,89,66,18266.00,40141.00,805.00,850,6,Mastercard,Credit,YES,2,11400.00,9,2013,5,No,Wholesale Clubs,0.002384,0.000677,4.416666,44,False,train
20774967,2018-02-06 05:55:00,5,2,False,2,115.23,Swipe Transaction,MN,4900,81,68,20697.00,33897.00,533.00,705,4,Mastercard,Debit,YES,1,24186.00,9,2008,10,No,"Utilities - Electric, Gas, Water, Sanitary",0.004764,0.003399,9.416666,75,False,train
20774968,2018-02-06 05:55:00,5,2,False,2,3.90,Chip Transaction,CA,5813,34,67,16838.00,34330.00,15223.00,713,4,Mastercard,Debit,YES,1,427.00,5,2008,8,No,Drinking Places (Alcoholic Beverages),0.009133,0.000114,9.750000,25,False,train
20774970,2018-02-06 05:57:00,5,2,False,2,109.64,Chip Transaction,IL,4111,38,67,21801.00,44452.00,12409.00,711,5,Mastercard,Debit,YES,2,29471.00,3,2005,7,No,Local and Suburban Commuter Transportation,0.003720,0.002466,12.916666,16,False,train
20774972,2018-02-06 05:59:00,5,2,False,2,27.27,Chip Transaction,NY,4900,61,61,30839.00,49569.00,58019.00,682,2,Mastercard,Debit,YES,2,24129.00,7,2002,0,No,"Utilities - Electric, Gas, Water, Sanitary",0.001130,0.000550,15.583333,28,False,train
20774973,2018-02-06 06:00:00,6,2,False,2,-78.00,Chip Transaction,TN,5541,63,60,48994.00,103294.00,39076.00,831,3,Mastercard,Debit,YES,1,30753.00,5,2003,10,No,Service Stations,-0.002536,-0.000755,14.750000,72,False,train
20774974,2018-02-06 06:00:00,6,2,False,2,94.11,Chip Transaction,IL,7538,80,66,25365.00,41793.00,1141.00,730,5,Mastercard,Credit,YES,1,19000.00,3,1998,2,No,Automotive Service Shops,0.004953,0.002252,19.916666,74,False,train
20774975,2018-02-06 06:01:00,6,2,False,2,10.16,Chip Transaction,NY,5411,36,62,20177.00,41141.00,71060.00,683,2,Mastercard,Debit,YES,1,11164.00,2,2008,9,No,"Grocery Stores, Supermarkets",0.000910,0.000247,10.000000,28,False,train
20774980,2018-02-06 06:01:00,6,2,False,2,10.86,Swipe Transaction,KY,5300,60,65,24218.00,49378.00,104480.00,740,4,Mastercard,Debit,NO,2,19756.00,10,2014,4,No,Wholesale Clubs,0.000550,0.000220,3.333333,4,False,train
20774982,2018-02-06 06:02:00,6,2,False,2,117.08,Chip Transaction,TX,5300,57,66,95039.00,193768.00,150896.00,686,5,Mastercard,Credit,YES,2,55300.00,11,2010,8,No,Wholesale Clubs,0.002117,0.000604,7.250000,56,False,train
20774984,2018-02-06 06:02:00,6,2,False,2,15.98,Chip Transaction,OH,5813,60,68,18420.00,37556.00,0.00,735,6,Visa,Debit,YES,2,18401.00,4,2017,1,No,Drinking Places (Alcoholic Beverages),0.000868,0.000425,0.833333,14,False,train
20774988,2018-02-06 06:03:00,6,2,False,2,7.23,Chip Transaction,CA,5310,56,67,22032.00,44924.00,27297.00,717,3,Mastercard,Debit,YES,1,27773.00,6,2009,6,No,Discount Stores,0.000260,0.000161,8.666666,24,False,train
20774990,2018-02-06 06:03:00,6,2,False,2,65.13,Chip Transaction,CA,5211,51,66,25949.00,52904.00,144534.00,680,4,Visa,Debit,YES,2,18494.00,10,2005,11,No,Lumber and Building Materials,0.003522,0.001231,12.333333,0,False,train
20774993,2018-02-06 06:04:00,6,2,False,2,160.30,Chip Transaction,TN,5541,63,60,48994.00,103294.00,39076.00,831,3,Mastercard,Debit,YES,1,30753.00,5,2003,10,No,Service Stations,0.005212,0.001552,14.750000,72,False,train
20774995,2018-02-06 06:05:00,6,2,False,2,103.91,Chip Transaction,PA,5311,56,70,19517.00,39796.00,9452.00,729,5,Mastercard,Credit,YES,1,12700.00,12,2007,2,No,Department Stores,0.008182,0.002611,10.166666,27,False,train
20774997,2018-02-06 06:05:00,6,2,False,2,4.74,Chip Transaction,FL,5541,49,69,37424.00,76305.00,112785.00,692,3,Mastercard,Debit,YES,1,61324.00,7,2010,7,No,Service Stations,0.000077,0.000062,7.583333,34,False,train
20774998,2018-02-06 06:05:00,6,2,False,2,17.62,Chip Transaction,NJ,7538,73,65,21861.00,46031.00,8332.00,661,5,Mastercard,Debit,YES,1,17335.00,11,2010,8,No,Automotive Service Shops,0.001016,0.000383,7.250000,63,False,train
20774999,2018-02-06 06:06:00,6,2,False,2,47.51,Chip Transaction,TX,5310,78,66,18528.00,22326.00,1620.00,564,4,Mastercard,Credit,YES,2,9200.00,5,2011,7,No,Discount Stores,0.005164,0.002128,6.750000,44,False,train
20775001,2018-02-06 06:07:00,6,2,False,2,-79.00,Chip Transaction,WI,5541,44,68,15568.00,31739.00,81905.00,799,5,Mastercard,Debit,YES,1,12930.00,8,2008,10,No,Service Stations,-0.006110,-0.002489,9.500000,70,False,train
20775002,2018-02-06 06:07:00,6,2,False,2,12.97,Swipe Transaction,VT,7230,42,67,18069.00,36843.00,52248.00,772,5,Visa,Debit,YES,2,11528.00,11,2007,5,No,Beauty and Barber Shops,0.001125,0.000352,10.250000,65,False,train
20775003,2018-02-06 06:07:00,6,2,False,2,132.45,Online Transaction,,4900,23,71,31839.00,64917.00,102747.00,689,4,Amex,Credit,YES,2,13200.00,9,2015,3,No,"Utilities - Electric, Gas, Water, Sanitary",0.010034,0.002040,2.416666,46,False,train
20775005,2018-02-06 06:07:00,6,2,False,2,11.92,Chip Transaction,CO,5912,68,65,24849.00,45754.00,9066.00,718,4,Mastercard,Credit,YES,2,10200.00,8,2006,5,No,Drug Stores and Pharmacies,0.001169,0.000261,11.500000,50,False,train
20775006,2018-02-06 06:08:00,6,2,False,2,48.32,Chip Transaction,GA,5311,54,63,14425.00,29413.00,46043.00,703,2,Mastercard,Debit,YES,1,1470.00,4,2008,10,No,Department Stores,0.032871,0.001643,9.833333,40,False,train
20775007,2018-02-06 06:08:00,6,2,False,2,28.53,Chip Transaction,NE,5411,47,68,13582.00,27691.00,24480.00,687,2,Visa,Debit,YES,1,9827.00,2,2008,9,No,"Grocery Stores, Supermarkets",0.002903,0.001030,10.000000,24,False,train
20775008,2018-02-06 06:08:00,6,2,False,2,9.31,Online Transaction,,4784,61,65,26339.00,53702.00,85160.00,606,1,Mastercard,Debit,YES,2,12047.00,4,2000,10,No,Tolls and Bridge Fees,0.000773,0.000173,17.833333,3,False,train
20775009,2018-02-06 06:09:00,6,2,False,2,23.58,Chip Transaction,MI,5942,77,68,19131.00,30977.00,21507.00,796,5,Visa,Credit,YES,2,9000.00,9,2006,10,No,Book Stores,0.002620,0.000761,11.416666,71,False,train
20775011,2018-02-06 06:09:00,6,2,False,2,4.48,Chip Transaction,OK,5411,47,65,46461.00,94733.00,0.00,707,5,Mastercard,Debit,YES,2,17846.00,10,2004,7,No,"Grocery Stores, Supermarkets",0.000251,0.000047,13.333333,5,False,train
20775012,2018-02-06 06:09:00,6,2,False,2,14.01,Swipe Transaction,NY,5541,88,75,27934.00,51717.00,418.00,717,5,Visa,Debit,YES,1,34013.00,11,2012,6,No,Service Stations,0.000412,0.000271,5.250000,33,False,train
20775013,2018-02-06 06:10:00,6,2,False,2,27.30,Chip Transaction,CA,5411,45,65,16892.00,34441.00,907.00,725,4,Mastercard,Debit,YES,2,27447.00,6,2008,8,No,"Grocery Stores, Supermarkets",0.000995,0.000793,9.666666,65,False,train
20775015,2018-02-06 06:11:00,6,2,False,2,27.76,Online Transaction,,7393,30,65,25334.00,51654.00,95454.00,600,4,Visa,Credit,YES,2,13200.00,7,2008,8,No,"Detective Agencies, Security Services",0.002103,0.000537,9.583333,74,False,train
20775017,2018-02-06 06:11:00,6,2,False,2,40.67,Online Transaction,,4784,79,59,74205.00,162709.00,5642.00,542,3,Mastercard,Debit,YES,2,35203.00,7,1991,8,No,Tolls and Bridge Fees,0.001155,0.000250,26.583333,69,False,train
20775019,2018-02-06 06:12:00,6,2,False,2,3.01,Chip Transaction,AZ,5499,64,68,17460.00,35602.00,55369.00,661,5,Mastercard,Debit,YES,1,8367.00,3,2009,9,No,Miscellaneous Food Stores,0.000360,0.000085,8.916666,28,False,train
20775020,2018-02-06 06:12:00,6,2,False,2,240.87,Chip Transaction,MO,4814,41,64,17101.00,34869.00,53381.00,699,2,Visa,Debit,YES,1,11885.00,10,2008,7,No,Telecommunication Services,0.020267,0.006908,9.333333,35,False,train
20775027,2018-02-06 06:14:00,6,2,False,2,4.00,Swipe Transaction,MN,5812,35,66,25592.00,52181.00,26792.00,727,2,Visa,Credit,NO,2,16500.00,12,2003,7,No,Eating Places and Restaurants,0.000242,0.000077,14.166666,51,False,train
20775028,2018-02-06 06:15:00,6,2,False,2,44.29,Chip Transaction,TN,5942,31,65,20142.00,41069.00,64073.00,644,3,Visa,Debit,YES,2,13352.00,11,2005,6,No,Book Stores,0.003317,0.001078,12.250000,55,False,train
20775029,2018-02-06 06:15:00,6,2,False,2,3.57,Chip Transaction,TX,5411,56,65,12693.00,25883.00,44404.00,706,4,Mastercard,Debit,YES,2,11415.00,5,2003,5,No,"Grocery Stores, Supermarkets",0.000313,0.000138,14.750000,80,False,train
20775030,2018-02-06 06:15:00,6,2,False,2,100.08,Swipe Transaction,FL,5411,33,69,20710.00,42229.00,0.00,688,3,Visa,Debit,NO,1,14708.00,1,2014,4,No,"Grocery Stores, Supermarkets",0.006804,0.002370,4.083333,66,False,train
20775032,2018-02-06 06:16:00,6,2,False,2,74.00,Chip Transaction,OR,5541,42,69,18961.00,38661.00,88636.00,765,3,Mastercard,Debit,YES,2,5857.00,10,2004,11,No,Service Stations,0.012634,0.001914,13.333333,80,False,train
20775034,2018-02-06 06:17:00,6,2,False,2,1.25,Chip Transaction,AL,5499,45,65,21331.00,43496.00,114563.00,765,3,Mastercard,Debit,YES,1,21628.00,3,2001,10,No,Miscellaneous Food Stores,0.000058,0.000029,16.916666,24,False,train
20775036,2018-02-06 06:17:00,6,2,False,2,38.84,Chip Transaction,OR,5541,42,69,18961.00,38661.00,88636.00,765,3,Mastercard,Debit,YES,2,5857.00,10,2004,11,No,Service Stations,0.006631,0.001005,13.333333,80,False,train
20775040,2018-02-06 06:18:00,6,2,False,2,18.52,Swipe Transaction,NY,5942,54,66,31288.00,63796.00,82173.00,730,3,Visa,Debit,YES,1,23404.00,7,2010,6,No,Book Stores,0.000791,0.000290,7.583333,68,False,train
20775041,2018-02-06 06:18:00,6,2,False,2,15.21,Online Transaction,,4121,57,54,18476.00,28245.00,13411.00,669,1,Mastercard,Debit,YES,2,6090.00,11,2009,7,No,Taxicabs and Limousines,0.002498,0.000539,8.250000,50,False,train
20775042,2018-02-06 06:18:00,6,2,False,2,3.49,Chip Transaction,CA,5411,47,74,24071.00,49079.00,6494.00,683,4,Visa,Debit,YES,1,18220.00,3,2010,7,No,"Grocery Stores, Supermarkets",0.000192,0.000071,7.916666,10,False,train
20775043,2018-02-06 06:18:00,6,2,False,2,106.51,Chip Transaction,CA,5300,51,66,29278.00,59696.00,127613.00,787,5,Visa,Debit,YES,2,21968.00,4,2014,4,No,Wholesale Clubs,0.004848,0.001784,3.833333,34,False,train
20775045,2018-02-06 06:19:00,6,2,False,2,1.69,Chip Transaction,NY,5499,30,70,23550.00,48010.00,87837.00,703,3,Visa,Debit,YES,2,15094.00,9,2009,7,No,Miscellaneous Food Stores,0.000112,0.000035,8.416666,59,False,train
20775048,2018-02-06 06:20:00,6,2,False,2,78.00,Chip Transaction,TX,5499,45,64,17595.00,35876.00,50190.00,635,3,Discover,Credit,YES,1,6800.00,8,2014,4,No,Miscellaneous Food Stores,0.011471,0.002174,3.500000,38,False,train
20775050,2018-02-06 06:21:00,6,2,False,2,23.01,Chip Transaction,WI,5541,44,68,15568.00,31739.00,81905.00,799,5,Mastercard,Debit,YES,1,12930.00,8,2008,10,No,Service Stations,0.001780,0.000725,9.500000,70,False,train
20775052,2018-02-06 06:21:00,6,2,False,2,135.26,Online Transaction,,4900,55,66,13075.00,26664.00,12241.00,709,4,Amex,Credit,YES,2,11000.00,4,2010,8,No,"Utilities - Electric, Gas, Water, Sanitary",0.012296,0.005073,7.833333,40,False,train
20775054,2018-02-06 06:21:00,6,2,False,2,120.00,Chip Transaction,KY,4829,60,65,24218.00,49378.00,104480.00,740,4,Visa,Credit,YES,1,11100.00,1,2002,9,No,Money Transfer,0.010811,0.002430,16.083333,43,False,train
20775055,2018-02-06 06:22:00,6,2,False,2,80.00,Chip Transaction,OK,4829,79,68,18585.00,27864.00,1371.00,591,6,Mastercard,Debit (Prepaid),YES,2,112.00,10,2008,6,No,Money Transfer,0.714286,0.002871,9.333333,50,False,train
20775059,2018-02-06 06:23:00,6,2,False,2,229.10,Swipe Transaction,CA,3596,73,68,23553.00,40696.00,15691.00,801,6,Visa,Credit,YES,2,12100.00,5,2009,,No,Miscellaneous Machinery and Parts Manufacturing,0.018934,0.005630,8.750000,76,False,train
20775060,2018-02-06 06:24:00,6,2,False,2,107.59,Chip Transaction,TX,8041,81,67,13917.00,22873.00,0.00,710,5,Visa,Debit,YES,1,18934.00,10,2007,5,No,Chiropractors,0.005682,0.004704,10.333333,30,False,train
20775061,2018-02-06 06:24:00,6,2,False,2,3.82,Chip Transaction,CA,5812,36,67,33758.00,68827.00,35669.00,755,2,Mastercard,Debit,YES,1,47153.00,2,2002,12,No,Eating Places and Restaurants,0.000081,0.000056,16.000000,26,False,train
20775063,2018-02-06 06:25:00,6,2,False,2,-74.00,Chip Transaction,OR,5541,42,69,18961.00,38661.00,88636.00,765,3,Mastercard,Debit,YES,2,5857.00,10,2004,11,No,Service Stations,-0.012634,-0.001914,13.333333,80,False,train
20775064,2018-02-06 06:25:00,6,2,False,2,80.00,Chip Transaction,CA,4829,49,65,18619.00,37963.00,102716.00,772,4,Mastercard,Debit,YES,1,20270.00,3,2009,9,No,Money Transfer,0.003947,0.002107,8.916666,69,False,train
20775065,2018-02-06 06:25:00,6,2,False,2,34.92,Online Transaction,,4784,47,65,21769.00,44383.00,42369.00,707,7,Mastercard,Debit,YES,2,19919.00,4,2012,6,No,Tolls and Bridge Fees,0.001753,0.000787,5.833333,29,False,train
20775066,2018-02-06 06:25:00,6,2,False,2,3.08,Chip Transaction,ME,5942,64,67,24779.00,50523.00,98763.00,578,1,Mastercard,Credit,YES,2,7100.00,3,2017,1,No,Book Stores,0.000434,0.000061,0.916666,40,False,train
20775070,2018-02-06 06:27:00,6,2,False,2,80.00,Chip Transaction,CA,4829,49,65,18619.00,37963.00,102716.00,772,4,Mastercard,Debit,YES,1,20270.00,3,2009,9,No,Money Transfer,0.003947,0.002107,8.916666,69,False,train
20775077,2018-02-06 06:28:00,6,2,False,2,38.82,Chip Transaction,PA,5912,33,61,50579.00,103126.00,130160.00,642,1,Visa,Credit,YES,2,24300.00,10,2003,11,No,Drug Stores and Pharmacies,0.001598,0.000376,14.333333,44,False,train
20775081,2018-02-06 06:29:00,6,2,False,2,76.15,Chip Transaction,NY,5942,42,65,45812.00,93406.00,151935.00,801,3,Visa,Debit,YES,2,27878.00,4,2009,7,No,Book Stores,0.002732,0.000815,8.833333,37,False,train
20775082,2018-02-06 06:29:00,6,2,False,2,100.00,Swipe Transaction,CA,4829,60,69,16920.00,34496.00,33122.00,731,5,Discover,Credit,YES,2,7300.00,12,1991,9,No,Money Transfer,0.013699,0.002899,26.166666,38,False,train
20775087,2018-02-06 06:29:00,6,2,False,2,2.73,Chip Transaction,IL,5541,92,65,28147.00,40787.00,1574.00,782,6,Visa,Credit,YES,2,12700.00,6,2011,7,No,Service Stations,0.000215,0.000067,6.666666,31,False,train
20775089,2018-02-06 06:30:00,6,2,False,2,3.32,Chip Transaction,MA,5411,66,64,31849.00,59938.00,36978.00,670,1,Mastercard,Debit,YES,1,17432.00,10,2001,4,No,"Grocery Stores, Supermarkets",0.000190,0.000055,16.333333,48,False,train
20775090,2018-02-06 06:30:00,6,2,False,2,28.55,Chip Transaction,CT,7542,34,65,28557.00,58225.00,101148.00,685,3,Amex,Credit,YES,1,12600.00,12,2008,10,No,Car Washes,0.002266,0.000490,9.166666,44,False,train
20775091,2018-02-06 06:31:00,6,2,False,2,17.53,Chip Transaction,SC,5719,66,65,13634.00,23993.00,2573.00,714,5,Mastercard,Debit,YES,2,3117.00,3,2001,12,No,Miscellaneous Home Furnishing Stores,0.005624,0.000731,16.916666,74,False,train
20775092,2018-02-06 06:31:00,6,2,False,2,10.19,Chip Transaction,LA,5812,49,63,13425.00,27372.00,54474.00,612,1,Mastercard,Debit,YES,1,1368.00,10,2000,14,No,Eating Places and Restaurants,0.007449,0.000372,17.333333,45,False,train
20775094,2018-02-06 06:31:00,6,2,False,2,135.92,Online Transaction,,4900,55,66,13075.00,26664.00,12241.00,709,4,Visa,Credit,YES,2,5400.00,5,2007,5,No,"Utilities - Electric, Gas, Water, Sanitary",0.025170,0.005098,10.750000,61,False,train
20775095,2018-02-06 06:31:00,6,2,False,2,0.99,Chip Transaction,WA,4214,73,65,16941.00,11410.00,0.00,812,7,Mastercard,Debit,YES,2,2833.00,11,2010,5,No,Motor Freight Carriers and Trucking,0.000349,0.000087,7.250000,36,False,train
20775096,2018-02-06 06:31:00,6,2,False,2,72.00,Chip Transaction,CA,5541,54,66,13002.00,26510.00,53023.00,696,4,Mastercard,Debit,YES,2,3658.00,10,2010,2,No,Service Stations,0.019683,0.002716,7.333333,29,False,train
20775097,2018-02-06 06:32:00,6,2,False,2,2.83,Chip Transaction,OH,5411,53,61,21992.00,44839.00,63194.00,625,3,Visa,Credit,YES,2,13200.00,6,2010,7,No,"Grocery Stores, Supermarkets",0.000214,0.000063,7.666666,70,False,train
20775099,2018-02-06 06:33:00,6,2,False,2,38.10,Chip Transaction,TX,5411,84,68,29557.00,33426.00,1852.00,699,4,Visa,Debit,YES,3,30242.00,1,2008,5,No,"Grocery Stores, Supermarkets",0.001260,0.001140,10.083333,44,False,train
20775100,2018-02-06 06:33:00,6,2,False,2,31.91,Chip Transaction,TX,7538,55,66,14959.00,30495.00,70825.00,773,4,Mastercard,Credit,YES,2,7300.00,3,2009,8,No,Automotive Service Shops,0.004371,0.001046,8.916666,74,False,train
20775101,2018-02-06 06:34:00,6,2,False,2,2.10,Chip Transaction,OH,5411,33,65,18077.00,36857.00,3112.00,768,3,Mastercard,Debit,YES,1,11399.00,10,2008,8,No,"Grocery Stores, Supermarkets",0.000184,0.000057,9.333333,74,False,train
20775102,2018-02-06 06:34:00,6,2,False,2,7.84,Online Transaction,,5311,60,66,25949.00,52908.00,109229.00,709,4,Amex,Credit,YES,2,25100.00,6,2010,8,No,Department Stores,0.000312,0.000148,7.666666,60,False,train
