column_name,source_table,data_type,row_count,null_count,null_percentage,unique_count,unique_count_method,min_value,max_value,mean_value,std_value,profile_timestamp
card_id,transactions_data,int,13305915,0,0.0,4149,approx_count_distinct,0.0,6144.0,3475.267650589982,1674.355912133166,2026-08-16T07:08:59+00:00
amount,transactions_data,varchar(32),13305915,0,0.0,82908,approx_count_distinct,-500.0,6820.2,42.976039023245846,81.65574765374127,2026-08-16T07:08:59+00:00
use_chip,transactions_data,nvarchar(64),13305915,0,0.0,3,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
merchant_id,transactions_data,bigint,13305915,0,0.0,75529,approx_count_distinct,1.0,100342.0,47723.763181337024,25815.337682195084,2026-08-16T07:08:59+00:00
merchant_city,transactions_data,nvarchar(160),13305915,0,0.0,12389,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
merchant_state,transactions_data,nvarchar(80),13305915,1563700,11.751916,198,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
zip,transactions_data,varchar(32),13305915,1652706,12.420837,25171,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
mcc,transactions_data,int,13305915,0,0.0,109,approx_count_distinct,1711.0,9402.0,5565.439814924415,875.7002377093249,2026-08-16T07:08:59+00:00
errors,transactions_data,nvarchar(500),13305915,13094522,98.411286,22,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
id,users_data,int,2000,0,0.0,2000,exact_primary_key,0.0,1999.0,999.5,577.4945887192364,2026-08-16T07:08:59+00:00
current_age,users_data,int,2000,0,0.0,79,approx_count_distinct,18.0,101.0,45.3915,18.414091537014986,2026-08-16T07:08:59+00:00
retirement_age,users_data,int,2000,0,0.0,29,approx_count_distinct,50.0,79.0,66.2375,3.628867328663935,2026-08-16T07:08:59+00:00
birth_year,users_data,int,2000,0,0.0,81,approx_count_distinct,1918.0,2002.0,1973.803,18.4212339958796,2026-08-16T07:08:59+00:00
birth_month,users_data,int,2000,0,0.0,12,approx_count_distinct,1.0,12.0,6.439,3.5653379667864176,2026-08-16T07:08:59+00:00
gender,users_data,nvarchar(32),2000,0,0.0,2,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
address,users_data,nvarchar(255),2000,0,0.0,2017,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
latitude,users_data,"decimal(10,6)",2000,0,0.0,981,approx_count_distinct,20.88,61.2,37.38922500000008,5.114323963552852,2026-08-16T07:08:59+00:00
longitude,users_data,"decimal(10,6)",2000,0,0.0,1219,approx_count_distinct,-159.41,-68.67,-91.5547650000002,16.283292617095345,2026-08-16T07:08:59+00:00
per_capita_income,users_data,varchar(32),2000,0,0.0,1768,approx_count_distinct,0.0,163145.0,23141.928,11324.13735766498,2026-08-16T07:08:59+00:00
yearly_income,users_data,varchar(32),2000,0,0.0,1927,approx_count_distinct,1.0,307018.0,45715.882,22992.615456311985,2026-08-16T07:08:59+00:00
total_debt,users_data,varchar(32),2000,0,0.0,1890,approx_count_distinct,0.0,516263.0,63709.694,52254.45342050285,2026-08-16T07:08:59+00:00
credit_score,users_data,int,2000,0,0.0,316,approx_count_distinct,480.0,850.0,709.7345,67.22194883334227,2026-08-16T07:08:59+00:00
num_credit_cards,users_data,int,2000,0,0.0,9,approx_count_distinct,1.0,9.0,3.073,1.637379462969069,2026-08-16T07:08:59+00:00
