feature,category_value,transactions,frauds,fraud_rate_pct,supported_for_signal
merchant_city,Alpharetta,2109,0,0.0,no
merchant_city,Vacaville,2095,0,0.0,no
merchant_city,Oceanside,2075,0,0.0,no
merchant_city,Hendersonville,2070,0,0.0,no
merchant_city,Lebanon,2049,0,0.0,no
merchant_city,Buffalo,2037,0,0.0,no
merchant_city,Pompano Beach,2014,1,0.049652,no
merchant_city,Clinton,1970,0,0.0,no
merchant_city,Wichita,1970,0,0.0,no
merchant_city,Saint Louis,1966,0,0.0,no
merchant_city,Franklin,1931,0,0.0,no
merchant_city,Arlington,1920,0,0.0,no
merchant_city,Tampa,1907,0,0.0,no
merchant_city,Bowling Green,1823,0,0.0,no
merchant_city,Riverside,1822,1,0.054885,no
merchant_city,Oklahoma City,1820,0,0.0,no
merchant_city,Acworth,1811,0,0.0,no
merchant_city,Garland,1796,0,0.0,no
merchant_city,Nashport,1748,0,0.0,no
merchant_city,Austin,1735,0,0.0,no
merchant_city,Meridian,1725,1,0.057971,no
merchant_city,Colorado Springs,1697,1,0.058928,no
merchant_city,Auburn,1663,0,0.0,no
merchant_city,Montgomery,1663,0,0.0,no
merchant_city,Belleville,1655,0,0.0,no
merchant_city,Newport,1632,1,0.061275,no
merchant_city,Sarasota,1621,0,0.0,no
merchant_city,Lancaster,1614,0,0.0,no
merchant_city,Lubbock,1610,0,0.0,no
merchant_city,Rochester,1573,0,0.0,no
merchant_city,Hamilton,1567,0,0.0,no
merchant_city,Marietta,1562,0,0.0,no
merchant_city,Waianae,1559,0,0.0,no
merchant_city,Cedar Rapids,1533,0,0.0,no
merchant_city,Medford,1531,0,0.0,no
merchant_city,Federal Way,1525,0,0.0,no
merchant_city,Huntington,1506,0,0.0,no
merchant_city,Batesville,1492,0,0.0,no
merchant_city,Bradenton,1476,0,0.0,no
merchant_city,Syracuse,1465,0,0.0,no
merchant_city,Sioux Falls,1462,0,0.0,no
merchant_city,Omaha,1434,0,0.0,no
merchant_city,Chandler,1409,0,0.0,no
merchant_city,Newark,1408,0,0.0,no
merchant_city,Glendale,1405,0,0.0,no
merchant_city,Grand Rapids,1399,0,0.0,no
merchant_city,Mount Vernon,1394,0,0.0,no
merchant_city,Pittsburgh,1393,0,0.0,no
merchant_city,Fontana,1379,0,0.0,no
merchant_city,Novi,1375,0,0.0,no
merchant_state,<NULL>,116830,947,0.810579,yes
merchant_state,CA,106631,12,0.011254,yes
merchant_state,TX,75135,6,0.007986,yes
merchant_state,NY,63997,7,0.010938,yes
merchant_state,FL,51890,6,0.011563,yes
merchant_state,OH,35872,26,0.07248,yes
merchant_state,IL,34977,5,0.014295,yes
merchant_state,NC,32032,3,0.009366,yes
merchant_state,PA,31030,3,0.009668,yes
merchant_state,MI,29293,2,0.006828,yes
merchant_state,GA,27524,2,0.007266,yes
merchant_state,NJ,24096,4,0.0166,yes
merchant_state,IN,23350,4,0.017131,yes
merchant_state,TN,21380,2,0.009355,yes
merchant_state,WA,21305,2,0.009387,yes
merchant_state,VA,17141,3,0.017502,yes
merchant_state,AZ,14402,0,0.0,yes
merchant_state,MO,14389,0,0.0,yes
merchant_state,MD,14346,2,0.013941,yes
merchant_state,MN,13367,1,0.007481,yes
merchant_state,AL,13266,2,0.015076,yes
merchant_state,WI,12808,1,0.007808,yes
merchant_state,SC,12782,3,0.023471,yes
merchant_state,KY,12663,1,0.007897,yes
merchant_state,CO,12444,3,0.024108,yes
merchant_state,MA,12383,2,0.016151,yes
merchant_state,IA,12046,8,0.066412,yes
merchant_state,OK,11985,2,0.016688,yes
merchant_state,LA,11805,1,0.008471,yes
merchant_state,CT,10330,0,0.0,yes
merchant_state,MS,9832,2,0.020342,yes
merchant_state,AR,8339,0,0.0,yes
merchant_state,NM,8172,3,0.036711,yes
merchant_state,KS,7438,0,0.0,yes
merchant_state,OR,7391,0,0.0,yes
merchant_state,NV,6682,0,0.0,yes
merchant_state,HI,5644,0,0.0,yes
merchant_state,ID,4188,0,0.0,no
merchant_state,NH,4158,0,0.0,no
merchant_state,WV,4135,0,0.0,no
merchant_state,RI,4004,1,0.024975,no
merchant_state,NE,3961,0,0.0,no
merchant_state,ME,3174,1,0.031506,no
merchant_state,UT,2763,0,0.0,no
merchant_state,DE,2395,0,0.0,no
merchant_state,SD,2341,0,0.0,no
merchant_state,MT,2059,0,0.0,no
merchant_state,Mexico,1942,0,0.0,no
merchant_state,VT,1733,0,0.0,no
merchant_state,ND,1687,0,0.0,no
merchant_state,DC,1026,0,0.0,no
merchant_state,Canada,798,0,0.0,no
merchant_state,WY,644,0,0.0,no
merchant_state,AK,552,0,0.0,no
merchant_state,Italy,485,325,67.010309,no
merchant_state,United Kingdom,321,0,0.0,no
merchant_state,France,213,0,0.0,no
merchant_state,Germany,212,0,0.0,no
merchant_state,China,207,0,0.0,no
merchant_state,Japan,161,0,0.0,no
merchant_state,India,135,0,0.0,no
merchant_state,Dominican Republic,127,0,0.0,no
merchant_state,Spain,125,0,0.0,no
merchant_state,Netherlands,118,0,0.0,no
merchant_state,South Korea,99,0,0.0,no
merchant_state,Switzerland,89,0,0.0,no
merchant_state,Taiwan,78,0,0.0,no
merchant_state,The Bahamas,76,0,0.0,no
merchant_state,Jamaica,73,0,0.0,no
merchant_state,Israel,69,0,0.0,no
merchant_state,Colombia,64,0,0.0,no
merchant_state,Ireland,63,0,0.0,no
merchant_state,Costa Rica,55,0,0.0,no
merchant_state,Brazil,52,0,0.0,no
merchant_state,Hong Kong,47,0,0.0,no
merchant_state,Philippines,47,0,0.0,no
merchant_state,Australia,45,0,0.0,no
merchant_state,Austria,43,0,0.0,no
merchant_state,Aruba,39,0,0.0,no
merchant_state,Denmark,30,0,0.0,no
merchant_state,Peru,30,0,0.0,no
merchant_state,Thailand,30,0,0.0,no
merchant_state,Czech Republic,29,0,0.0,no
merchant_state,Pakistan,28,0,0.0,no
merchant_state,South Africa,28,0,0.0,no
merchant_state,Greece,27,0,0.0,no
merchant_state,Portugal,26,0,0.0,no
merchant_state,Haiti,22,21,95.454545,no
merchant_state,Indonesia,21,0,0.0,no
merchant_state,Norway,18,0,0.0,no
merchant_state,Russia,18,0,0.0,no
merchant_state,United Arab Emirates,18,0,0.0,no
merchant_state,Hungary,17,0,0.0,no
merchant_state,Poland,17,0,0.0,no
merchant_state,Belgium,14,0,0.0,no
merchant_state,Egypt,13,0,0.0,no
merchant_state,Finland,13,0,0.0,no
merchant_state,Malaysia,11,0,0.0,no
merchant_state,New Zealand,11,0,0.0,no
merchant_state,Saudi Arabia,11,0,0.0,no
merchant_zip,<NULL>,123274,1293,1.048883,yes
merchant_zip,98516.0,2869,0,0.0,no
merchant_zip,87121.0,2352,0,0.0,no
merchant_zip,91606.0,2312,0,0.0,no
merchant_zip,55024.0,2025,0,0.0,no
merchant_zip,77056.0,2020,0,0.0,no
merchant_zip,80013.0,1930,0,0.0,no
merchant_zip,95687.0,1925,0,0.0,no
merchant_zip,29229.0,1811,0,0.0,no
merchant_zip,30101.0,1808,0,0.0,no
merchant_zip,40299.0,1766,0,0.0,no
merchant_zip,43228.0,1759,0,0.0,no
merchant_zip,43830.0,1748,0,0.0,no
merchant_zip,94606.0,1708,0,0.0,no
merchant_zip,96792.0,1559,0,0.0,no
merchant_zip,10463.0,1493,0,0.0,no
merchant_zip,11211.0,1469,0,0.0,no
merchant_zip,92886.0,1457,0,0.0,no
merchant_zip,85711.0,1445,0,0.0,no
merchant_zip,38606.0,1438,0,0.0,no
merchant_zip,48235.0,1422,0,0.0,no
merchant_zip,67212.0,1390,0,0.0,no
merchant_zip,2840.0,1375,1,0.072727,no
merchant_zip,77064.0,1356,0,0.0,no
merchant_zip,94131.0,1344,0,0.0,no
merchant_zip,95076.0,1341,0,0.0,no
merchant_zip,91605.0,1340,0,0.0,no
merchant_zip,7922.0,1324,0,0.0,no
merchant_zip,43512.0,1320,0,0.0,no
merchant_zip,72450.0,1316,0,0.0,no
merchant_zip,46307.0,1280,0,0.0,no
merchant_zip,96706.0,1272,0,0.0,no
merchant_zip,94804.0,1261,0,0.0,no
merchant_zip,60085.0,1253,2,0.159617,no
merchant_zip,60153.0,1226,0,0.0,no
merchant_zip,79912.0,1215,0,0.0,no
merchant_zip,30022.0,1168,0,0.0,no
merchant_zip,91913.0,1161,0,0.0,no
merchant_zip,55419.0,1159,0,0.0,no
merchant_zip,22003.0,1156,0,0.0,no
merchant_zip,60073.0,1156,0,0.0,no
merchant_zip,62221.0,1151,0,0.0,no
merchant_zip,95624.0,1142,0,0.0,no
merchant_zip,92887.0,1137,0,0.0,no
merchant_zip,39301.0,1113,0,0.0,no
merchant_zip,60411.0,1105,0,0.0,no
merchant_zip,89148.0,1100,0,0.0,no
merchant_zip,48188.0,1099,0,0.0,no
merchant_zip,51023.0,1095,0,0.0,no
merchant_zip,52405.0,1095,0,0.0,no
merchant_zip,28314.0,1087,0,0.0,no
merchant_zip,48146.0,1086,0,0.0,no
merchant_zip,48375.0,1086,0,0.0,no
merchant_zip,10950.0,1083,0,0.0,no
merchant_zip,36695.0,1081,0,0.0,no
merchant_zip,29579.0,1076,0,0.0,no
merchant_zip,33076.0,1063,0,0.0,no
merchant_zip,2151.0,1060,0,0.0,no
merchant_zip,91752.0,1058,1,0.094518,no
merchant_zip,94598.0,1058,0,0.0,no
merchant_zip,85226.0,1053,0,0.0,no
merchant_zip,38116.0,1046,0,0.0,no
merchant_zip,13619.0,1044,0,0.0,no
merchant_zip,48103.0,1041,1,0.096061,no
merchant_zip,91801.0,1018,0,0.0,no
merchant_zip,48036.0,1017,0,0.0,no
merchant_zip,60084.0,1014,0,0.0,no
merchant_zip,97504.0,1004,0,0.0,no
merchant_zip,28215.0,997,0,0.0,no
merchant_zip,92335.0,992,0,0.0,no
merchant_zip,98021.0,992,0,0.0,no
merchant_zip,45013.0,991,0,0.0,no
merchant_zip,36693.0,987,0,0.0,no
merchant_zip,29607.0,986,0,0.0,no
merchant_zip,37075.0,977,0,0.0,no
merchant_zip,42103.0,973,0,0.0,no
merchant_zip,70510.0,959,0,0.0,no
merchant_zip,51022.0,958,0,0.0,no
merchant_zip,14127.0,957,0,0.0,no
merchant_zip,33175.0,956,0,0.0,no
merchant_zip,23226.0,944,0,0.0,no
merchant_zip,78130.0,939,0,0.0,no
merchant_zip,74501.0,937,0,0.0,no
merchant_zip,19146.0,933,0,0.0,no
merchant_zip,20901.0,932,0,0.0,no
merchant_zip,27704.0,931,0,0.0,no
merchant_zip,35023.0,930,0,0.0,no
merchant_zip,28602.0,929,0,0.0,no
merchant_zip,75002.0,922,0,0.0,no
merchant_zip,92057.0,915,0,0.0,no
merchant_zip,32137.0,906,0,0.0,no
merchant_zip,30824.0,896,0,0.0,no
merchant_zip,32608.0,894,0,0.0,no
merchant_zip,20879.0,893,0,0.0,no
merchant_zip,11232.0,892,0,0.0,no
merchant_zip,77086.0,891,0,0.0,no
merchant_zip,22015.0,890,0,0.0,no
merchant_zip,44870.0,889,0,0.0,no
merchant_zip,60616.0,884,0,0.0,no
merchant_zip,34997.0,883,0,0.0,no
mcc,5411,118176,38,0.032155,yes
mcc,5499,108996,16,0.014679,yes
mcc,5541,106562,14,0.013138,yes
mcc,5812,74227,15,0.020208,yes
mcc,5912,57543,55,0.095581,yes
mcc,4784,50559,0,0.0,yes
mcc,5300,44587,107,0.23998,yes
mcc,4829,43533,87,0.199848,yes
mcc,4121,37379,28,0.074908,yes
mcc,5814,36750,18,0.04898,yes
mcc,7538,35776,4,0.011181,yes
mcc,5311,35558,226,0.635581,yes
mcc,5813,18317,15,0.081891,yes
mcc,5310,18258,72,0.394348,yes
mcc,4900,18131,0,0.0,yes
mcc,5942,17386,5,0.028759,yes
mcc,4814,16172,16,0.098936,yes
mcc,5211,12946,20,0.154488,yes
mcc,7832,10632,6,0.056433,yes
mcc,5921,9632,13,0.134967,yes
mcc,7230,7920,1,0.012626,yes
mcc,9402,7431,5,0.067286,yes
mcc,4214,7371,18,0.2442,yes
mcc,5719,6532,25,0.382731,yes
mcc,4111,6224,0,0.0,yes
mcc,5651,5326,39,0.732257,yes
mcc,5970,5020,7,0.139442,yes
mcc,5815,4640,45,0.969828,no
mcc,6300,3854,0,0.0,no
mcc,4899,3832,3,0.078288,no
mcc,7349,3813,1,0.026226,no
mcc,7922,2922,12,0.410678,no
mcc,7542,2868,1,0.034868,no
mcc,5251,2685,11,0.409683,no
mcc,7210,2473,0,0.0,no
mcc,8021,2443,1,0.040933,no
mcc,4722,2372,23,0.969646,no
mcc,7995,2323,2,0.086096,no
mcc,8011,1765,1,0.056657,no
mcc,7801,1334,11,0.824588,no
mcc,3504,1258,13,1.033386,no
mcc,5655,1251,1,0.079936,no
mcc,3509,1222,13,1.06383,no
mcc,7011,1208,7,0.57947,no
mcc,7802,1195,0,0.0,no
mcc,3722,1185,15,1.265823,no
mcc,8043,1177,1,0.084962,no
mcc,3684,1123,13,1.157614,no
mcc,8099,1083,0,0.0,no
mcc,3640,1076,11,1.022305,no
mcc,3780,1075,7,0.651163,no
mcc,3596,1051,13,1.236917,no
mcc,3775,1027,6,0.584226,no
mcc,3730,1012,16,1.581028,no
mcc,3771,1008,14,1.388889,no
mcc,5661,957,3,0.31348,no
mcc,7393,943,0,0.0,no
mcc,7996,912,14,1.535088,no
mcc,3389,793,14,1.765448,no
mcc,3359,785,9,1.146497,no
mcc,5621,767,2,0.260756,no
mcc,8049,767,1,0.130378,no
mcc,5192,759,0,0.0,no
mcc,8041,751,0,0.0,no
mcc,5193,681,11,1.615272,no
mcc,3390,667,10,1.49925,no
mcc,3387,651,4,0.614439,no
mcc,3395,615,6,0.97561,no
mcc,3393,606,4,0.660066,no
mcc,3405,588,5,0.85034,no
mcc,5261,527,0,0.0,no
mcc,8111,527,0,0.0,no
mcc,5732,525,42,8.0,no
mcc,5977,507,12,2.366864,no
mcc,5932,431,9,2.088167,no
mcc,5094,392,27,6.887755,no
mcc,7276,293,0,0.0,no
mcc,5712,285,19,6.666667,no
mcc,8931,280,0,0.0,no
mcc,8062,251,1,0.398406,no
mcc,3132,250,1,0.4,no
mcc,1711,240,0,0.0,no
mcc,3001,237,3,1.265823,no
mcc,3058,235,4,1.702128,no
mcc,3000,225,6,2.666667,no
mcc,3066,225,1,0.444444,no
mcc,3256,215,1,0.465116,no
mcc,4511,215,5,2.325581,no
mcc,3260,211,1,0.473934,no
mcc,3174,205,1,0.487805,no
mcc,5045,199,21,10.552764,no
mcc,5816,185,7,3.783784,no
mcc,5947,179,6,3.351955,no
mcc,4131,174,5,2.873563,no
mcc,4112,172,10,5.813953,no
mcc,7531,94,0,0.0,no
mcc,7549,83,0,0.0,no
mcc,5533,76,4,5.263158,no
mcc,5941,76,1,1.315789,no
mcc,3007,34,4,11.764706,no
gender,Female,506406,735,0.14514,yes
gender,Male,483855,678,0.140125,yes
card_brand,Mastercard,533528,766,0.143573,yes
card_brand,Visa,368595,498,0.135108,yes
card_brand,Amex,63231,113,0.17871,yes
card_brand,Discover,24907,36,0.144538,yes
card_type,Debit,616099,786,0.127577,yes
card_type,Credit,305823,487,0.159242,yes
card_type,Debit (Prepaid),68339,140,0.204861,yes
has_chip,YES,891075,1292,0.144993,yes
has_chip,NO,99186,121,0.121993,yes
account_open_month,2,91655,123,0.134199,yes
account_open_month,6,91060,135,0.148254,yes
account_open_month,7,90602,137,0.151211,yes
account_open_month,10,90437,123,0.136006,yes
account_open_month,12,85280,102,0.119606,yes
account_open_month,4,84196,123,0.146088,yes
account_open_month,5,82832,125,0.150908,yes
account_open_month,9,79138,108,0.13647,yes
account_open_month,1,76867,121,0.157415,yes
account_open_month,3,73592,105,0.142679,yes
account_open_month,8,73336,102,0.139086,yes
account_open_month,11,71266,109,0.152948,yes
